,No
anal fissure excision,7974
swollen scrotum,7975
polydactyly,7976
warm type haemolytic anaemia,7977
dentofacial anomaly,7978
tri-iodothyronine increased,7979
congenital tricuspid valve atresia,7980
post streptococcal glomerulonephritis,7981
corona virus infection,7982
pain threshold decreased,7983
glomerulonephritis proliferative,7984
bruise,7985
chest wall abscess,7986
anal cancer,7987
anaemia of malignant disease,7988
hereditary disorder,7989
viral infection,7990
tubal rupture,7991
blepharoplasty,7992
maintenance of anaesthesia,7993
renal failure,7994
ototoxicity,7995
obesity,7996
corneal decompensation,7997
lymphocytic infiltration,7998
scimitar syndrome,7999
wound infection staphylococcal,8000
b-cell unclassifiable lymphoma low grade,8001
gingival cancer,8002
procedural site reaction,8003
prothrombin time,8004
lower respiratory tract infection fungal,8005
electrolyte depletion,8006
drug withdrawal maintenance therapy,8007
sensation of pressure in ear,8008
rash follicular,8009
neutrophil count abnormal,8010
cataract nuclear,8011
gastrointestinal ischaemia,8012
deafness traumatic,8013
urine bilirubin increased,8014
anion gap normal,8015
peripheral nerve palsy,8016
cervix carcinoma stage i,8017
eyelid pain,8018
antithrombin iii increased,8019
hodgkin's disease lymphocyte predominance type stage unspecified,8020
bronchogram abnormal,8021
ill-defined disorder,8022
immunoglobulins abnormal,8023
cerebral aspergillosis,8024
face lift,8025
gastric outlet obstruction,8026
skin striae,8027
calcification pancreatic duct,8028
exeresis,8029
faecal volume increased,8030
infusion site pruritus,8031
alcoholic intoxication,8032
cerebral microangiopathy,8033
menstrual discomfort,8034
vitreous detachment,8035
blood chloride abnormal,8036
gestational trophoblastic tumour,8037
wound debridement,8038
trance,8039
breast cyst,8040
torulopsis infection,8041
brain lobectomy,8042
spleen tuberculosis,8043
laryngeal oedema,8044
aortic aneurysm,8045
neuralgia,8046
aortic wall hypertrophy,8047
acquired epidermolysis bullosa,8048
ejection fraction,8049
chilaiditi's syndrome,8050
psychoses,8051
metastases to the respiratory system,8052
oropharyngeal swelling,8053
bladder catheter permanent,8054
intervertebral discitis,8055
myringoplasty,8056
hepatic steatosis,8057
cold agglutinins positive,8058
cardiac septal defect,8059
nasal sinus congestion,8060
circumstance or information capable of leading to medication error,8061
scleromalacia,8062
ventriculoperitoneal shunt malfunction,8063
tachyphylaxis,8064
dysphoria,8065
retinoblastoma unilateral,8066
pyelonephritis fungal,8067
alcohol intolerance,8068
phlebotomy,8069
small intestine carcinoma,8070
"schizophrenia, catatonic type",8071
tobacco interaction,8072
bleeding,8073
flatulence,8074
beta 2 microglobulin decreased,8075
blast cell crisis,8076
intercepted medication error,8077
coproporphyrinogen increased,8078
cyst aspiration,8079
genotype drug resistance test positive,8080
weight control,8081
antineutrophil cytoplasmic antibody positive,8082
arteriosclerotic retinopathy,8083
tension headache,8084
nerve root compression,8085
atypical femur fracture,8086
pulmonary cavitation,8087
biopsy liver,8088
fascitis plantar,8089
troponin i increased,8090
congenital aortic anomaly,8091
flail chest,8092
gastrinoma,8093
supraclavicular retraction,8094
cholelithotomy,8095
placenta praevia,8096
subcorneal pustular dermatosis,8097
parovarian cyst,8098
retrognathia,8099
vaginal fistula,8100
cervix carcinoma recurrent,8101
toxic dilatation of colon,8102
cerebral atrophy congenital,8103
nicotinic acid deficiency,8104
choking sensation,8105
pharyngeal candidiasis,8106
acalculia,8107
blood amylase,8108
selective mutism,8109
hepatorenal syndrome,8110
subdural haematoma evacuation,8111
lactic acidosis,8112
cold compress therapy,8113
peritoneal cyst,8114
candida sepsis,8115
cardiac ischemia,8116
infection in an immunocompromised host,8117
insulin-like growth factor increased,8118
dermatologic examination abnormal,8119
scarlet fever,8120
anti-platelet antibody,8121
intermediate uveitis,8122
eosinophil count increased,8123
blighted ovum,8124
traumatic fracture,8125
copper deficiency,8126
campylobacter infection,8127
gingival recession,8128
hypercoagulation,8129
neurological disorders nec,8130
transient psychosis,8131
extracorporeal membrane oxygenation,8132
muscle tone disorder,8133
visual tracking test abnormal,8134
ph body fluid,8135
hepatic infection,8136
tongue black hairy,8137
rectal stenosis,8138
ischaemic limb pain,8139
musculoskeletal stiffness,8140
mesenteric artery embolism,8141
cerebral sarcoidosis,8142
alice in wonderland syndrome,8143
hypocoagulable state,8144
pneumonia cytomegaloviral,8145
blood pressure orthostatic,8146
eye infection syphilitic,8147
ultrasound uterus abnormal,8148
cell marker increased,8149
cytokine storm,8150
dysglobulinaemia,8151
gastrointestinal perforation,8152
fat atrophy,8153
polymedication,8154
pregnancy on contraceptive,8155
brain stem haemorrhage,8156
puncture site infection,8157
fontanelle depressed,8158
pseudoexfoliation of lens capsule,8159
borderline personality disorder,8160
joint dislocation postoperative,8161
pericarditis mycoplasmal,8162
rectal cancer metastatic,8163
biliary cancer metastatic,8164
hepatitis b dna increased,8165
chromosomal mutation,8166
acidosis,8167
bronchopulmonary disease,8168
nephroureterectomy,8169
iris hypopigmentation,8170
acute promyelocytic leukaemia differentiation syndrome,8171
metastases to pancreas,8172
metastatic uterine cancer,8173
biliary adenoma,8174
urine output increased,8175
bartholinitis,8176
spinal anaesthesia,8177
epidermal growth factor receptor decreased,8178
blood creatinine abnormal,8179
erythema,8180
congenital skin disorder,8181
cyanosis neonatal,8182
respiratory syncytial virus infection,8183
subcutaneous nodule,8184
pulmonary arterial pressure increased,8185
anal inflammation,8186
periorbital abscess,8187
transferrin increased,8188
congenital lymphoedema,8189
blast cell count increased,8190
ileostomy,8191
anaesthetic complication cardiac,8192
jaundice cholestatic,8193
haemorrhagic ascites,8194
orthostatic intolerance,8195
hypertensive crisis,8196
toxicologic test abnormal,8197
depression,8198
infusion site fibrosis,8199
flight of ideas,8200
abnormal eeg,8201
liposarcoma,8202
haemorrhage,8203
rectal lesion,8204
benign duodenal neoplasm,8205
free fatty acids abnormal,8206
infusion site induration,8207
oddi's sphincter constriction,8208
joint irrigation,8209
vesicoureteral reflux surgery,8210
therapy responder,8211
thyroid operation,8212
anoxic encephalopathy,8213
proctocolitis,8214
patient restraint,8215
hypertensive angiopathy,8216
exposure to contaminated air,8217
bence jones protein urine,8218
haemodilution,8219
cholangitis acute,8220
erythema dyschromicum perstans,8221
occult blood positive,8222
panic disorder with agoraphobia,8223
uterine enlargement,8224
myoclonus,8225
scrotal irritation,8226
spermatogenesis abnormal,8227
hepaplastin decreased,8228
portal vein occlusion,8229
extremity pain,8230
extrapulmonary tuberculosis,8231
bronchopneumonia,8232
electrocardiogram qrs complex prolonged,8233
pneumocephalus,8234
pituitary tumour recurrent,8235
congenital hand malformation,8236
ectopic pregnancy with intrauterine device,8237
trichomegaly,8238
medication tampering,8239
foaming at mouth,8240
alcoholic liver disease,8241
liver operation,8242
neuromuscular blocking therapy,8243
blood pressure systolic decreased,8244
cardiac malposition,8245
trisomy 8,8246
pleurothotonus,8247
blood bicarbonate decreased,8248
application site mass,8249
cytokine release syndrome,8250
breast induration,8251
csf bacteria identified,8252
propionibacterium infection,8253
respiratory distress,8254
electrocardiogram qt interval,8255
scan with contrast,8256
muscle mass,8257
cerebrovascular accident prophylaxis,8258
glasgow coma scale,8259
large intestinal stricture,8260
skin chapped,8261
blood caffeine,8262
cirrhosis,8263
myelocyte count decreased,8264
victim of spousal abuse,8265
adenitis,8266
neonatal respiratory arrest,8267
enophthalmos,8268
blood trypsin increased,8269
chronic kidney disease,8270
peripheral nerve operation,8271
neutrophil pelger-huet anomaly present,8272
botulism,8273
langerhans' cell granulomatosis,8274
mucosal membrane hyperplasia,8275
uvulopalatopharyngoplasty,8276
fungal cystitis,8277
oromandibular dystonia,8278
electrocardiogram r on t phenomenon,8279
eyelid cyst,8280
renal tumour excision,8281
ovarian adhesion,8282
citric acid urine decreased,8283
spondylitis,8284
troponin i,8285
spinal fusion surgery,8286
graft delamination,8287
aural polyp,8288
pneumonia influenzal,8289
yersinia infection,8290
granulomatosis with polyangiitis,8291
ruptured cerebral aneurysm,8292
small bowel angioedema,8293
anterograde amnesia,8294
epidermolysis bullosa,8295
corneal neovascularisation,8296
hip arthroplasty,8297
dilatation intrahepatic duct acquired,8298
intraocular melanoma,8299
clostridium difficile toxin test positive,8300
hypoglycaemia unawareness,8301
acute psychosis,8302
early satiety,8303
blood amino acid level increased,8304
prostatitis escherichia coli,8305
herpes zoster oticus,8306
blood urea,8307
allergies,8308
coagulation factor vii level increased,8309
pseudallescheria infection,8310
uterine cervix atrophy,8311
blood arsenic increased,8312
nail dystrophy,8313
skin desquamation,8314
oral mucosal blistering,8315
nervous system disorder,8316
pericardial effusion,8317
tumour ulceration,8318
plagiocephaly,8319
allergic transfusion reaction,8320
inhibitory drug interaction,8321
secondary hyperthyroidism,8322
ejaculation premature,8323
complications of bone marrow transplant,8324
chronic left ventricular failure,8325
speech disorder,8326
phenylketonuria,8327
hepato-lenticular degeneration,8328
placenta praevia haemorrhage,8329
nasal obstruction,8330
scrotal cyst,8331
neutropenic colitis,8332
thyrotoxic crisis,8333
localised exfoliation,8334
holmes-adie pupil,8335
cardiac valve abscess,8336
tongue necrosis,8337
ventricular internal diameter abnormal,8338
lymphadenopathy mediastinal,8339
single umbilical artery,8340
jugular vein thrombosis,8341
heart valve calcification,8342
live birth,8343
shoulder pain,8344
peripartum cardiomyopathy,8345
cutis laxa,8346
dilatation ventricular,8347
mitochondrial dna depletion,8348
hypophosphataemia,8349
bacterial pneumonia,8350
keratitis fungal,8351
computerised tomogram normal,8352
sticky skin,8353
anaemia vitamin b12 deficiency,8354
coma neonatal,8355
acanthoma,8356
delivery,8357
blood lead increased,8358
allergic alveolitis,8359
muscular weakness,8360
laparotomy,8361
onychomadesis,8362
endophthalmitis,8363
angiogram abnormal,8364
pancreatic enzymes increased,8365
infusion site extravasation,8366
urethral haemorrhage,8367
brain cancer metastatic,8368
mumps antibody test positive,8369
mesenteric arteriosclerosis,8370
hypovitaminosis,8371
retained placenta or membranes,8372
abscess drainage,8373
scrotal disorder,8374
arteriovenous fistula site infection,8375
malignant renal hypertension,8376
epidermolysis,8377
hyperplasia,8378
endocarditis enterococcal,8379
gene mutation identification test,8380
hand dermatitis,8381
antisocial behaviour,8382
blood oestrogen abnormal,8383
altered state of consciousness,8384
purulence,8385
post-traumatic pain,8386
cholecystectomies,8387
neurological decompensation,8388
blood folate abnormal,8389
drug specific antibody absent,8390
salivary gland enlargement,8391
meniscus operation,8392
cystosarcoma phyllodes,8393
blood fibrinogen increased,8394
body height increased,8395
hypoprothrombinaemia,8396
urethral stent insertion,8397
vascular test abnormal,8398
corneal opacity,8399
pelvic fluid collection,8400
congenital multiplex arthrogryposis,8401
viraemia,8402
neuroendocrine carcinoma of the skin,8403
pneumonia primary atypical,8404
incision site abscess,8405
pharyngeal erythema,8406
pneumonia moraxella,8407
underdose,8408
gastroenteritis staphylococcal,8409
anxiety postoperative,8410
b-cell type acute leukaemia,8411
deep brain stimulation,8412
phytotherapy,8413
fibrinolysis increased,8414
bladder cyst,8415
thyroglossal cyst,8416
prophylaxis,8417
directional doppler flow tests abnormal,8418
fixed eruption,8419
gnathostomiasis,8420
tongue haematoma,8421
biliary tract disorder,8422
nasopharyngitis,8423
inguinal hernia repair,8424
pterygium,8425
renal artery fibromuscular dysplasia,8426
anorectal discomfort,8427
cord blood transplant therapy,8428
personality change,8429
hepatitis b e antigen positive,8430
paranasal sinus benign neoplasm,8431
acquired protein s deficiency,8432
congenital genital malformation female,8433
pharyngeal ulceration,8434
radiation necrosis,8435
cranial nerve infection,8436
coronary artery bypass graft,8437
abasia,8438
alcohol consumption,8439
miosis,8440
anaesthetic complication,8441
vaginal haemorrhage,8442
cerebral artery embolism,8443
heart valve replacement,8444
dental prosthesis user,8445
traumatic ulcer,8446
specific gravity urine decreased,8447
breast lump,8448
increased appetite,8449
congenital abdominal hernia,8450
internal injury,8451
lung injury,8452
elevated mood,8453
major depression,8454
oral mucosal disorder,8455
peripheral nerve transposition,8456
red blood cell schistocytes present,8457
congenital hydrocephalus,8458
myomectomy,8459
stomatococcal infection,8460
temporomandibular joint syndrome,8461
bile output,8462
phobic avoidance,8463
assisted delivery,8464
allergic respiratory disease,8465
epiphysiolysis,8466
congenital musculoskeletal anomaly,8467
alpha 1 microglobulin urine increased,8468
combined immunodeficiency,8469
multiple drug overdose intentional,8470
acquired porphyria,8471
uveitis,8472
appendiceal mucocoele,8473
upper airway resistance syndrome,8474
dermatosis,8475
abnormal withdrawal bleeding,8476
craniosynostosis,8477
cephalo-pelvic disproportion,8478
keratitis viral,8479
white clot syndrome,8480
breathing-related sleep disorder,8481
suture related complication,8482
metastases to kidney,8483
polysubstance dependence,8484
acantholysis,8485
pericarditis tuberculous,8486
application site necrosis,8487
bronchial spasm,8488
performance status decreased,8489
fibrin decreased,8490
vulvovaginal pruritus,8491
xeroderma,8492
overgrowth bacterial,8493
mycosis fungoides recurrent,8494
mitral valve calcification,8495
sexual dysfunction,8496
repetitive strain injury,8497
electrocardiogram qrs complex abnormal,8498
taste disorders,8499
localised oedema,8500
infantile spitting up,8501
sense of oppression,8502
t-cell lymphoma,8503
coagulation factor decreased,8504
oxygen saturation immeasurable,8505
micturition frequency decreased,8506
anaesthetic complication neurological,8507
pregnancy test urine positive,8508
promotion of peripheral circulation,8509
blood homocysteine decreased,8510
haematological malignancy,8511
ejection fraction decreased,8512
beta 2 microglobulin urine increased,8513
polymenorrhagia,8514
investigation abnormal,8515
tendon sheath lesion excision,8516
penile blister,8517
nasal operation,8518
puncture site reaction,8519
polyserositis,8520
acquired mitochondrial dna mutation,8521
cast application,8522
nonspecific reaction,8523
pleural decortication,8524
sinusitis bacterial,8525
pregnancy after post coital contraception,8526
leiomyosarcoma metastatic,8527
carotid artery stent insertion,8528
hypersomnia-bulimia syndrome,8529
splenic varices,8530
psychotic disorder due to a general medical condition,8531
hepatic fibrosis,8532
b-lymphocyte count decreased,8533
floppy iris syndrome,8534
nausea,8535
tooth disease,8536
eventration procedure,8537
eyelid function disorder,8538
progressive massive fibrosis,8539
adenotonsillectomy,8540
myotonia,8541
ovarian cancer metastatic,8542
fatty liver,8543
thoracotomy,8544
viith nerve injury,8545
death neonatal,8546
tongue dry,8547
mixed hepatocellular-cholestatic injury,8548
pharyngeal stenosis,8549
ureteral necrosis,8550
peripancreatic fluid collection,8551
b-cell lymphoma stage iv,8552
joint lock,8553
mean platelet volume,8554
catheter thrombosis,8555
corneal scar,8556
acetonaemic vomiting,8557
ocular myasthenia,8558
blood pressure inadequately controlled,8559
anaplastic thyroid cancer,8560
peripheral sensorimotor neuropathy,8561
blood luteinising hormone increased,8562
face injury,8563
hoffmann's sign,8564
macular ischaemia,8565
physical abuse,8566
renal cell carcinoma,8567
hepatic neoplasm malignant,8568
penis injury,8569
animal bite,8570
incisional drainage,8571
bacterial pyelonephritis,8572
cerebrovascular arteriovenous malformation,8573
prepyloric stenosis,8574
myocarditis post infection,8575
lymph node palpable,8576
creatinine renal clearance,8577
protein urine absent,8578
superior sagittal sinus thrombosis,8579
diabetic foot,8580
acquired pigmented retinopathy,8581
astigmatism,8582
intra-abdominal haemorrhage,8583
orthopnea,8584
blood gases abnormal,8585
eosinophilic cellulitis,8586
amniotic fluid volume,8587
pneumatic compression therapy,8588
malignant neoplasm of pleura,8589
stomach mass,8590
catheter site haemorrhage,8591
poor sucking reflex,8592
oesophageal cancer metastatic,8593
granular cell tumour,8594
b-cell unclassifiable lymphoma high grade,8595
peritoneal dialysis,8596
gastrooesophageal reflux prophylaxis,8597
mood altered,8598
congenital brain damage,8599
dental care,8600
renal osteodystrophy,8601
hemivertebra,8602
post-anoxic myoclonus,8603
pancreatitis relapsing,8604
metastases to pleura,8605
blood oestrogen decreased,8606
skin swelling,8607
acetabulum fracture,8608
subcutaneous haematoma,8609
pneumomediastinum,8610
testicular swelling,8611
beckwith-wiedemann syndrome,8612
bladder pain,8613
tumour haemorrhage,8614
cholecystitis and cholelithiasis,8615
ureteral obstruction,8616
medium-chain acetyl-coenzyme a dehydrogenase deficiency,8617
gastrointestinal hypermotility,8618
nuclear magnetic resonance imaging abdominal,8619
meningitis coccidioides,8620
inferior vena caval occlusion,8621
thought broadcasting,8622
asymptomatic bacteriuria,8623
culture stool positive,8624
blood erythropoietin increased,8625
biopsy intestine abnormal,8626
asocial behaviour,8627
radial pulse abnormal,8628
application site bruising,8629
xanthelasma,8630
blood bilirubin unconjugated increased,8631
scleroderma,8632
diverticulitis intestinal haemorrhagic,8633
gastroenteritis radiation,8634
multi-organ failure,8635
cholestasis of pregnancy,8636
pityriasis lichenoides et varioliformis acuta,8637
exercise test abnormal,8638
osteochondroma,8639
procedural hypotension,8640
dysmorphism,8641
shunt thrombosis,8642
completed suicide,8643
legal problem,8644
tri-iodothyronine uptake decreased,8645
sclerodactylia,8646
congenital cleft hand,8647
staring,8648
nocardiosis,8649
subarachnoid haemorrhage,8650
eyeball rupture,8651
wrong drug administered,8652
foetal arrhythmia,8653
application site scar,8654
barbiturates positive,8655
sensory loss,8656
scan myocardial perfusion,8657
exhibitionism,8658
coagulation factor increased,8659
colorectal cancer metastatic,8660
dyspnoea exacerbated,8661
nipple pain,8662
post procedural sepsis,8663
congenital small intestinal atresia,8664
lumbar spine flattening,8665
candida pneumonia,8666
water pollution,8667
otitis media chronic,8668
septic shock,8669
rotator cuff repair,8670
pneumonia cryptococcal,8671
bladder perforation,8672
protein urine present,8673
hepatitis a antibody,8674
hypophysitis,8675
neuritis,8676
foetal hypokinesia,8677
sarcoidosis,8678
anterior chamber cell,8679
vater syndrome,8680
genital erosion,8681
nasopharyngeal cancer,8682
white matter lesion,8683
anticonvulsant toxicity,8684
herpetic stomatitis,8685
skull fracture,8686
cardiac failure high output,8687
foetal haemoglobin decreased,8688
blood iron increased,8689
mineral metabolism disorder,8690
herpes sepsis,8691
post transplant lymphoproliferative disorder,8692
osteoarthropathy,8693
acute myocardial infarction,8694
myoglobin blood increased,8695
metastases to lung,8696
abdominal pain,8697
central nervous system viral infection,8698
faeces pale,8699
gastrointestinal tract mucosal discolouration,8700
opportunistic infection,8701
scleral oedema,8702
univentricular heart,8703
leucine aminopeptidase increased,8704
antipsychotic drug level,8705
cartilage neoplasm,8706
ecg p wave inverted,8707
bladder prolapse,8708
nasal turbinate hypertrophy,8709
aortic injury,8710
encephalitis toxic,8711
incorrect drug administration rate,8712
blood electrolytes increased,8713
catheter site swelling,8714
tumour compression,8715
pterygium colli,8716
basilar artery thrombosis,8717
corneal lesion,8718
cervix operation,8719
acute brain syndrome,8720
5-hydroxyindolacetic acid in urine increased,8721
multiple-drug resistance,8722
intestinal obstruction,8723
cutaneous vasculitis,8724
heart transplant,8725
petechia,8726
encephalitic infection,8727
pulmonary vascular disorder,8728
cervical spine flattening,8729
vasodilatation,8730
oesophagobronchial fistula,8731
hepatitis non-a non-b,8732
infected varicose vein,8733
antipsychotic drug level increased,8734
rash generalised,8735
myxoedema coma,8736
periodontal disease,8737
trigger finger,8738
vertebral wedging,8739
hyperandrogenism,8740
follicular mucinosis,8741
salivary gland operation,8742
biopsy lung abnormal,8743
brain stem auditory evoked response,8744
arteriopathic disease,8745
volvulus of small bowel,8746
bipolar i disorder,8747
foot amputation,8748
computerised tomogram,8749
monoclonal immunoglobulin present,8750
implant site induration,8751
cardiac murmur,8752
obstetric procedure complication,8753
ludwig angina,8754
excessive masturbation,8755
inulin renal clearance decreased,8756
immediate post-injection reaction,8757
intracardiac mass,8758
mucormycosis,8759
corneal thinning,8760
acholia,8761
testicular torsion,8762
sclc,8763
pregnancy of partner,8764
external ear cellulitis,8765
nasal necrosis,8766
anaesthetic complication vascular,8767
abscess soft tissue,8768
social problem,8769
penile vascular disorder,8770
bone marrow tumour cell infiltration,8771
iron binding capacity total,8772
marrow hyperplasia,8773
nodule on extremity,8774
rectal cancer stage 0,8775
cerebral arteriosclerosis,8776
hypercapnic encephalopathy,8777
uterine synechiae,8778
abdominal operation,8779
cytomegalovirus enteritis,8780
atrioventricular canal,8781
prolonged labour,8782
retroperitoneal abscess,8783
red cell distribution width increased,8784
large intestine operation,8785
radiation retinopathy,8786
neoplasm malignant,8787
eosinophilic pneumonia chronic,8788
trichophytic granuloma,8789
venous thrombosis limb,8790
biliary colic,8791
allergy to plants,8792
oesophageal infection,8793
radiation myelopathy,8794
chronic myeloid leukaemia transformation,8795
hantaviral infection,8796
hepatic congestion,8797
macrocytosis,8798
embolism venous,8799
"brief psychotic disorder, with postpartum onset",8800
haemodynamic test abnormal,8801
retrograde portal vein flow,8802
sinus perforation,8803
folliculitis,8804
chemotherapeutic drug level increased,8805
euthanasia,8806
chronic inflammatory demyelinating polyradiculoneuropathy,8807
schizophreniform disorder,8808
antimicrobial susceptibility test resistant,8809
delayed engraftment,8810
duodenogastric reflux,8811
diffuse alveolar damage,8812
premature baby,8813
iodine uptake increased,8814
postpericardiotomy syndrome,8815
polymyalgia rheumatica,8816
tongue disorder,8817
cd4 lymphocytes,8818
lung consolidation,8819
nerve degeneration,8820
tonsillar neoplasm,8821
arterial injury,8822
buccoglossal syndrome,8823
hesitancy,8824
hyperadrenalism,8825
complications of transplanted pancreas,8826
urethral cancer metastatic,8827
sudden onset of sleep,8828
antibiotic prophylaxis,8829
cryptogenic cirrhosis,8830
organ failure,8831
epiphyses delayed fusion,8832
air embolism,8833
erectile dysfunction,8834
hemiparesis,8835
genital discomfort,8836
mitral valve sclerosis,8837
stress,8838
skin discolouration,8839
intestinal hypomotility,8840
dysuria,8841
urinary tract operation,8842
neoplasm skin,8843
blood human chorionic gonadotropin increased,8844
coital bleeding,8845
stent embolisation,8846
fibroma,8847
retinopathy haemorrhagic,8848
foetal alcohol syndrome,8849
central nervous system mass,8850
somatisation disorder,8851
asthma late onset,8852
vitreous opacities,8853
occupational physical problem,8854
cystitis-like symptom,8855
peptic ulcer reactivated,8856
decreased body temperature,8857
post lumbar puncture syndrome,8858
blast crisis in myelogenous leukaemia,8859
blood glucose abnormal,8860
cytomegalovirus viraemia,8861
carcinoid syndrome,8862
head injury,8863
bleeding time,8864
nerve root injury,8865
blood creatine phosphokinase mb,8866
stress ulcer,8867
"sleep disorder due to general medical condition, hypersomnia type",8868
continuous haemodiafiltration,8869
imprisonment,8870
foreign body reaction,8871
periodic limb movement disorder,8872
capillary nail refill test,8873
peripheral revascularisation,8874
andropause,8875
pulmonary arterial hypertension,8876
vaginal infection,8877
genital pain,8878
gastric perforation,8879
cervical dysplasia,8880
castleman's disease,8881
t-cell chronic lymphocytic leukaemia,8882
albumin globulin ratio abnormal,8883
pregnancy test urine,8884
ventricular failure,8885
erythromelalgia,8886
aortic valve disease,8887
colporrhaphy,8888
sarcoma uterus,8889
salt craving,8890
escherichia urinary tract infection,8891
hypoalbuminaemia,8892
abnormal laboratory findings,8893
lip disorder,8894
lung carcinoma cell type unspecified stage iii,8895
eyelid infection,8896
skin erosion,8897
high arched palate,8898
tonsillar haemorrhage,8899
nasal disorder,8900
purpura fulminans,8901
otitis media viral,8902
infusion site burning,8903
irregular menstrual cycle,8904
gastric antral vascular ectasia,8905
abscess limb,8906
cubital tunnel syndrome,8907
pancreatic necrosis,8908
ischaemic ulcer,8909
umbilical cord vascular disorder,8910
genital pain male,8911
vitamin d abnormal,8912
cholecystitis acute,8913
transfusion microchimerism,8914
vessel puncture site bruise,8915
epiphyseal fracture,8916
general physical health deterioration,8917
acute megakaryocytic leukaemia,8918
corneal disorder,8919
antimitochondrial antibody,8920
gastroenteritis salmonella,8921
antepartum haemorrhage,8922
supraventricular tachyarrhythmia,8923
stenotrophomonas sepsis,8924
hepatic vein thrombosis,8925
lesion excision,8926
frontal lobe epilepsy,8927
blood creatinine increased,8928
pus in stool,8929
uterine atrophy,8930
cholelithiasis obstructive,8931
arterial ligation,8932
pancreatic carcinoma metastatic,8933
herpes simplex serology positive,8934
colitis erosive,8935
meningococcal bacteraemia,8936
small cell lung cancer extensive stage,8937
carbohydrate antigen 125,8938
metastases to thorax,8939
vitamin d increased,8940
fungal rash,8941
contrast media reaction,8942
metastases to the mediastinum,8943
arteritis obliterans,8944
vulvovaginal adhesion,8945
vessel perforation,8946
neck deformity,8947
alcohol abuse,8948
abdomen crushing,8949
breech delivery,8950
scapula fracture,8951
injection site thrombosis,8952
cytomegalovirus colitis,8953
non-hodgkin's lymphoma stage i,8954
antithrombin iii decreased,8955
postoperative thoracic procedure complication,8956
eczema,8957
ild,8958
idiopathic pneumonia syndrome,8959
fasting,8960
ureteral neoplasm,8961
herpes zoster,8962
meige's syndrome,8963
hodgkin's disease mixed cellularity stage i supradiaphragmatic,8964
oophorectomy bilateral,8965
protein c decreased,8966
benign lymph node neoplasm,8967
tinel's sign,8968
haemangioma of skin,8969
electronystagmogram abnormal,8970
mean cell volume abnormal,8971
genetic counselling,8972
rheumatic disorder,8973
lepromatous leprosy,8974
gastric hypomotility,8975
blood pressure diastolic,8976
free prostate-specific antigen increased,8977
infusion site infection,8978
acid-base balance disorder mixed,8979
brain malformation,8980
parathyroid tumour,8981
cor pulmonale chronic,8982
gastrointestinal stromal tumour,8983
protein induced by vitamin k absence or antagonist ii increased,8984
injection site burning,8985
splenic candidiasis,8986
t-cell lymphoma stage iii,8987
ultrasound biliary tract,8988
disuse syndrome,8989
treatment related secondary malignancy,8990
accidental poisoning,8991
labour onset delayed,8992
vaginal disorder,8993
csf monocyte count increased,8994
neurilemmoma benign,8995
carbon monoxide poisoning,8996
colectomy,8997
pulmonary function test decreased,8998
oral mucosal exfoliation,8999
reticulocyte count increased,9000
gangrene,9001
lactobacillus infection,9002
blood methaemoglobin present,9003
allogenic bone marrow transplantation therapy,9004
antiphospholipid antibodies positive,9005
risus sardonicus,9006
transmission of an infectious agent via a medicinal product,9007
post inflammatory pigmentation change,9008
abdominal neoplasm,9009
sjogren's syndrome,9010
accessory auricle,9011
dialysis disequilibrium syndrome,9012
feelings of worthlessness,9013
genitalia external ambiguous,9014
abnormal loss of weight,9015
tumour necrosis,9016
dermo-hypodermitis,9017
blood insulin,9018
interruption of aortic arch,9019
renal artery atherosclerosis,9020
retching,9021
mitochondrial toxicity,9022
meningococcal sepsis,9023
peritoneal abscess,9024
lung infection,9025
neuropathic pain,9026
fibrinous bronchitis,9027
cerebral dysgenesis,9028
mean cell haemoglobin,9029
non-small cell lung cancer stage i,9030
duodenal sphincterotomy,9031
arteriovenous fistula site haemorrhage,9032
perforation bile duct,9033
ischias,9034
tooth deposit,9035
hypophagia,9036
micrococcal sepsis,9037
blood thrombin increased,9038
rathke's cleft cyst,9039
neutropenic infection,9040
rib hypoplasia,9041
grunting,9042
prothrombin time prolonged,9043
orthopedic procedure,9044
increased insulin requirement,9045
vocal cord paresis,9046
coombs test positive,9047
soft tissue necrosis,9048
superinfection oral,9049
munchausen's syndrome,9050
hypochromasia,9051
resuscitation,9052
tubo-ovarian abscess,9053
anomalous pulmonary venous connection,9054
gallbladder obstruction,9055
biopsy lung,9056
genital pruritus male,9057
prothrombin level abnormal,9058
intelligence test abnormal,9059
nodal arrhythmia,9060
cardiothoracic ratio increased,9061
bronchitis,9062
adrenocortical carcinoma,9063
oesophageal hypomotility,9064
mitral valve hypoplasia,9065
urinary bladder polyp,9066
unresponsive to verbal stimuli,9067
hematoma subdural,9068
congenital aortic valve incompetence,9069
burkitt's lymphoma stage iii,9070
thyroid neoplasia,9071
mountain sickness acute,9072
blood human chorionic gonadotropin positive,9073
macrostomia,9074
insulinoma,9075
"dementia of the alzheimer's type, with delusions",9076
orbital oedema,9077
intercostal neuralgia,9078
vestibulitis,9079
myelodysplasia,9080
lacrimal disorder,9081
radiculitis,9082
blood cortisol decreased,9083
congenital genital malformation,9084
mallory-weiss syndrome,9085
jaw operation,9086
congo-crimean haemorrhagic fever,9087
decreased insulin requirement,9088
calciphylaxis,9089
gaucher's disease,9090
premature recovery from anaesthesia,9091
serositis,9092
pelvic haematoma,9093
